name,matchday,date,home_team,away_team,result,played_position,goals,assists,own_goals,yellow,yellow_x2,red,sub_on,sub_off,minutes,competition
Romelu Lukaku,Group B,2021-06-12,Belgium,Russia,3:0,CF,2,0,0,0,0,0,0,0,90,EURO 2020
Romelu Lukaku,Group B,2021-06-17,Denmark,Belgium,1:2,CF,0,0,0,0,0,0,0,0,90,EURO 2020
Romelu Lukaku,Group B,2021-06-21,Finland,Belgium,0:2,CF,1,0,0,0,0,0,0,84,84,EURO 2020
Romelu Lukaku,Round of 16,2021-06-27,Belgium,Portugal,1:0,CF,0,0,0,0,0,0,0,0,90,EURO 2020
Romelu Lukaku,Quarter-Finals,2021-07-02,Belgium,Italy,1:2,CF,1,0,0,0,0,0,0,0,90,EURO 2020
Romelu Lukaku,Group H,2021-09-14,Chelsea,Zenit S-Pb,1:0,CF,1,0,0,0,0,0,0,0,90,UEFA CHAMPIONS LEAGUE
Romelu Lukaku,Group H,2021-09-29,Juventus,Chelsea,1:0,CF,0,0,0,0,0,0,0,0,90,UEFA CHAMPIONS LEAGUE
Romelu Lukaku,Group H,2021-10-20,Chelsea,Malmö FF,4:0,CF,0,1,0,0,0,0,0,23,23,UEFA CHAMPIONS LEAGUE
Romelu Lukaku,15,2021-01-03,Inter  (2.),Crotone  (19.),6:2,CF,1,1,0,0,0,0,0,75,75,SERIE A
Romelu Lukaku,16,2021-01-06,Sampdoria  (11.),Inter  (2.),2:1,CF,0,0,0,0,0,0,63,0,27,SERIE A
Romelu Lukaku,17,2021-01-10,AS Roma  (4.),Inter  (2.),2:2,CF,0,0,0,1,0,0,0,0,90,SERIE A
Romelu Lukaku,18,2021-01-17,Inter  (2.),Juventus  (3.),2:0,CF,0,0,0,0,0,0,0,0,90,SERIE A
Romelu Lukaku,19,2021-01-23,Udinese Calcio  (15.),Inter  (2.),0:0,CF,0,0,0,0,0,0,0,0,90,SERIE A
Romelu Lukaku,20,2021-01-30,Inter  (2.),Benevento  (11.),4:0,CF,2,0,0,0,0,0,0,81,81,SERIE A
Romelu Lukaku,21,2021-02-05,Fiorentina  (12.),Inter  (2.),0:2,CF,0,0,0,0,0,0,0,89,89,SERIE A
Romelu Lukaku,22,2021-02-14,Inter  (2.),Lazio  (4.),3:1,CF,2,1,0,1,0,0,0,90,90,SERIE A
Romelu Lukaku,23,2021-02-21,AC Milan  (2.),Inter  (1.),0:3,CF,1,1,0,0,0,0,0,0,90,SERIE A
